TRIP_ID,UNIQUE_EVENT,USABLE,TARGET_DEPTH,DFO_STAT_AREA_CODE,DFO_STAT_SUBAREA_CODE,STRATUM,BLOCK,VESSEL_NAME,DAY_NIGHT,START_LATITUDE,START_LONGITUDE,TOW_LENGTH_MINUTE,DISTANCE_TRAVELLED,DISTANCE_UNITS,DOORSPREAD,MOUTH_HEIGHT_USE,MOUTH_HEIGHT_SOURCE,MOUTH_WIDTH_USE,MOUTH_WIDTH_SOURCE,VOLUME_KM3,HEADROPE_DEPTH_RBR,MODAL_GEAR_DEPTH,NET_DESC,SURVEY_SERIES,TRIP_ID.y,EVENT_NUMBER,EVENT_TYPE,EVENT_CODE,USABLE.y,DATE,YEAR,MONTH,DAY,DAY_NIGHT.y,STRATUM.y,BLOCK.y,STATION_NAME,VESSEL_NAME.y,CAPTAIN,START_LATITUDE.y,START_LONGITUDE.y,END_LATITUDE,END_LONGITUDE,BEGIN_DEPLOYMENT_TIME,END_DEPLOYMENT_TIME,BEGIN_RETRIEVAL_TIME,END_RETRIEVAL_TIME,TOW_LENGTH_MINUTE.y,DIRECTION,TARGET_DEPTH.y,VESSEL_SPEED,SPEED_UNITS,DISTANCE_TRAVELLED.y,DISTANCE_UNITS.y,START_GEAR_DEPTH,END_GEAR_DEPTH,MODAL_GEAR_DEPTH.y,GMT_OFFSET_HOURS,SWELL_HEIGHT,BRIDGE_COMMENTS,DFO_STAT_AREA_CODE.y,DFO_STAT_SUBAREA_CODE.y,DOORSPREAD.y,ID,MON_NUM,MONTH1,Mon_Low,SEASON1
201778,BCSI-201778-BR11,Y,30,12,35,NA,BR11,CFV SEACREST,DAY,50.81,-126.217,20,1.42,NM,NA,12,MOUTH,30,MOUTH,9.467999999999999e-4,NA,30,CanTrawl 250,BCSI,201778,119,Midwater Trawl,6,Y,2017-10-07T00:00:00Z,2017,OCT,7,DAY,NA,BR11,BR11,CFV SEACREST,NA,50.81,-126.217,50.788,-126.203,NA,1899-12-30T11:47:00Z,NA,NA,20,158,30,4.3,KNOTS,1.42,NM,NA,NA,30,-7,NA,NA,12,35,NA,13,10,OCTOBER,Oct,FALL
201778,BCSI-201778-BR12,Y,15,12,27,NA,BR12,CFV SEACREST,DAY,50.659,-126.167,20,1.33,NM,NA,12,MOUTH,30,MOUTH,8.856e-4,NA,15,CanTrawl 250,BCSI,201778,120,Midwater Trawl,6,Y,2017-10-07T00:00:00Z,2017,OCT,7,DAY,NA,BR12,BR12,CFV SEACREST,NA,50.659,-126.167,50.654,-126.201,NA,1899-12-30T14:01:00Z,NA,NA,20,257,15,4,KNOTS,1.33,NM,NA,NA,15,-7,NA,NA,12,27,NA,13,10,OCTOBER,Oct,FALL
201778,BCSI-201778-BR14,Y,30,12,26,NA,BR14,CFV SEACREST,DAY,50.635,-126.431,20,1.3,NM,NA,12,MOUTH,30,MOUTH,8.676e-4,NA,30,CanTrawl 250,BCSI,201778,122,Midwater Trawl,6,Y,2017-10-07T00:00:00Z,2017,OCT,7,DAY,NA,BR14,BR14,CFV SEACREST,NA,50.635,-126.431,50.634,-126.465,NA,1899-12-30T16:12:00Z,NA,NA,20,267,30,3.9,KNOTS,1.3,NM,NA,NA,30,-7,NA,NA,12,26,NA,13,10,OCTOBER,Oct,FALL
201778,BCSI-201778-FH01,Y,0,8,16,NA,FH01,CFV SEACREST,DAY,51.679,-127.962,20,1.5,NM,NA,12,MOUTH,30,MOUTH,0.0010007999999999998,NA,0,CanTrawl 250,BCSI,201778,31,Midwater Trawl,6,Y,2017-10-01T00:00:00Z,2017,OCT,1,DAY,NA,FH01,FH01,CFV SEACREST,NA,51.679,-127.962,51.702,-127.978,NA,1899-12-30T08:20:00Z,NA,NA,20,337,0,4.5,KNOTS,1.5,NM,NA,NA,0,-7,NA,NA,8,16,NA,13,10,OCTOBER,Oct,FALL
201778,BCSI-201778-FH02,Y,0,8,3,NA,FH02,CFV SEACREST,DAY,51.758,-127.95,20,1.32,NM,NA,12,MOUTH,30,MOUTH,8.783999999999999e-4,NA,0,CanTrawl 250,BCSI,201778,36,Midwater Trawl,6,Y,2017-10-01T00:00:00Z,2017,OCT,1,DAY,NA,FH02,FH02,CFV SEACREST,NA,51.758,-127.95,51.778,-127.965,NA,1899-12-30T12:12:00Z,NA,NA,20,385,0,4,KNOTS,1.32,NM,NA,NA,0,-7,NA,NA,8,3,NA,13,10,OCTOBER,Oct,FALL
201778,BCSI-201778-FH03,Y,15,8,4,NA,FH03,CFV SEACREST,DAY,51.811,-127.998,20,1.31,NM,NA,12,MOUTH,30,MOUTH,8.748e-4,NA,15,CanTrawl 250,BCSI,201778,37,Midwater Trawl,6,Y,2017-10-01T00:00:00Z,2017,OCT,1,DAY,NA,FH03,FH03,CFV SEACREST,NA,51.811,-127.998,51.832,-128.008,NA,1899-12-30T12:54:00Z,NA,NA,20,344,15,3.9,KNOTS,1.31,NM,NA,NA,15,-7,NA,NA,8,4,NA,13,10,OCTOBER,Oct,FALL
201778,BCSI-201778-FH04,Y,0,8,4,NA,FH04,CFV SEACREST,DAY,51.877,-127.976,20,1.45,NM,NA,12,MOUTH,30,MOUTH,9.683999999999999e-4,NA,0,CanTrawl 250,BCSI,201778,38,Midwater Trawl,6,Y,2017-10-01T00:00:00Z,2017,OCT,1,DAY,NA,FH04,FH04,CFV SEACREST,NA,51.877,-127.976,51.895,-127.95,NA,1899-12-30T13:57:00Z,NA,NA,20,42,0,4.3,KNOTS,1.45,NM,NA,NA,0,-7,NA,NA,8,4,NA,13,10,OCTOBER,Oct,FALL
201778,BCSI-201778-FH05,Y,10,8,4,NA,FH05,CFV SEACREST,DAY,51.918,-127.917,18,1,NM,NA,12,MOUTH,30,MOUTH,6.659999999999999e-4,NA,10,CanTrawl 250,BCSI,201778,39,Midwater Trawl,6,Y,2017-10-01T00:00:00Z,2017,OCT,1,DAY,NA,FH05,FH05,CFV SEACREST,NA,51.918,-127.917,51.918,-127.89,NA,1899-12-30T15:00:00Z,NA,NA,18,90,10,3.3,KNOTS,1,NM,NA,NA,10,-7,NA,NA,8,4,NA,13,10,OCTOBER,Oct,FALL
201778,BCSI-201778-FH06,Y,0,8,4,NA,FH06,CFV SEACREST,DAY,51.905,-127.909,20,1.5,NM,NA,12,MOUTH,30,MOUTH,0.0010007999999999998,NA,0,CanTrawl 250,BCSI,201778,40,Midwater Trawl,6,Y,2017-10-01T00:00:00Z,2017,OCT,1,DAY,NA,FH06,FH06,CFV SEACREST,NA,51.905,-127.909,51.903,-127.948,NA,1899-12-30T15:45:00Z,NA,NA,20,265,0,4.3,KNOTS,1.5,NM,NA,NA,0,-7,NA,NA,8,4,NA,13,10,OCTOBER,Oct,FALL
201778,BCSI-201778-FH07,Y,15,8,4,NA,FH07,CFV SEACREST,DAY,51.86,-127.92,20,1.38,NM,NA,12,MOUTH,30,MOUTH,9.216e-4,NA,15,CanTrawl 250,BCSI,201778,45,Midwater Trawl,6,Y,2017-10-02T00:00:00Z,2017,OCT,2,DAY,NA,FH07,FH07,CFV SEACREST,NA,51.86,-127.92,51.837,-127.92,NA,1899-12-30T07:59:00Z,NA,NA,20,180,15,4.1,KNOTS,1.38,NM,NA,NA,15,-7,NA,NA,8,4,NA,13,10,OCTOBER,Oct,FALL
